"Identifier"	"English Label"	"French label"
"r-syndication-from_description" 	"Refers to another resource in the same dataset by linking the values together, not their arks." 	"Fait référence à une autre ressource du même jeu de données en liant les valeurs entre elles et non leurs arks."
"r-tree-by_title" 	"tree-by" 	"tree-by"
"r-tree-by_description" 	"Allows you to create tree-like graphs representing hierarchical data and display the number of documents involved." 	"Permet de créer des graphiques en forme d’arbres représentant des données hiérarchisées et d’afficher le nombre de documents concernés."
"r-total-of_title" 	"total-of_title" 	"total-of_title"
"r-total-of_description" 	"total-of description" 	"total-of description"
"r-labeled-ressources_title" 	"labeled-ressources" 	"labeled-ressources"
"r-labeled-ressources_description" 	"labeled-ressources description" 	"labeled-ressources description"
"add_file_success"	"File %{name} successfully added"	"Fichier %{name} ajouté avec succès"
"cancelled_import" 	"Import has been successfully cancelled" 	"L'import a été annulé avec succès"
"cancelled_publish" 	"Publish has been successfully cancelled" 	"La publication a été annulée avec succès"
"cancelled_enricher" 	"Enrichment has been successfully cancelled" 	"L'enrichissement a été annulé avec succès"
"cancelled_precomputer" 	"Precomputing has been successfully cancelled" 	"Le précalcul a été annulé avec succès"
"no_field" 	"Field %{fieldName} does not exist" 	"Le champ %{fieldName} n'existe pas"
"no_field_in_scope" 	"Field %{fieldName} is not in scope %{filter}" 	"Le champ %{fieldName} n'est pas dans le scope %{filter}"
"open_menu" 	"Open menu" 	"Ouvrir le menu"
"close_menu" 	"Close menu" 	"Fermer le menu"
"source_value" 	"Source value" 	"Source de la valeur"
"arbitrary_value" 	"Arbitrary value" 	"Valeur arbitraire"
"enter_an_arbitrary_value" 	"Enter an arbitrary value" 	"Saisir une valeur arbitraire"
"routine_value" 	"Choice of the routine" 	"Choix de la routine"
"enter_a_routine_value" 	"Choose a routine" 	"Choisir une routine"
"from_precomputed"	"Existing precomputed data"	"Précalcul existant"
"enter_from_precomputed"	"Enter existing precomputed data"	"Saisir précalcul existant"
"from_columns" 	"Existing Column(s)" 	"Colonne(s) existante(s)"
"enter_from_columns" 	"Enter existing Column(s)" 	"Saisir colonne(s) existante(s)"
"from_subresource" 	"From Subresource" 	"Depuis une sous-ressource"
"precomputed_processing" 	"Precomputed processing" 	"Donnée précalculée"
"precomputed_processing_value" 	"Precomputed web service" 	"Web service précalculé"
"enter_a_precomputed_processing_value" 	"Enter a precomputed web service path" 	"Saisir un chemin de web service précalculé"
"advanced" 	"Advanced" 	"Avancé"
"value_preview_title" 	"Value preview*" 	"Aperçu de la valeur*"
"value_preview_description" 	"* preview of value with transformation operations applied"	"* aperçu de la valeur avec les opérations de transformation appliquées"
"used_in" 	"used in"	"utilisé dans"
"field_to_annotate" 	"Field to annonate"	"Champ à annoter"
"search_page"	"Search & Facets"	"Recherche et facettes"
"search_input"	"Search inputs"	"Champs de recherche"
"search_in_fields" 	"Search in fields"	"Rechercher dans les champs"
"facets"	"Facets"	"Facettes"
"search_syndication"	"Search syndication"	"Syndication de recherche"
"resource_title"	"Resource title"	"Titre de la ressource"
"resource_description"	"Resource description"	"Description de la ressource"
"resource_detail_first"	"Resource detail first"	"Premier detail de la ressource"
"resource_detail_second"	"Resource detail second"	"Second detail de la ressource"
"resource_detail_third"	"Resource detail third"	"Troisième detail de la ressource"
"dialog_import_has_enrichments"	"Import has enrichments"	"L'import a des enrichissements"
"dialog_import_has_enrichments_description"     	"Enrichments are present in the model. Do not forget to run them again if they apply to a new dataset."	"Des enrichissements sont présents dans le modèle. Ne pas oublier de les relancer s'ils s'appliquent à un nouveau jeu de données."
"see_logs"	"See logs"	"Voir les logs"
"see_data"	"See precomputed data"	"Voir les données précalculées"
"download_logs"	"Download logs"	"Télécharger logs"
"enrichment_status"	"Status"	"Statut"
"enrichment_preview_description"	"Value from source column or from advanced rule"	"* valeur de la colonne source ou de la règle avancée"
"enrichment_added_success"	"Enrichment added successfully"	"Enrichissement ajouté avec succès"
"enrichment_updated_success"	"Enrichment updated successfully"	"Enrichissement modifié avec succès"
"preview_no_data"	"No data"	"Aucune donnée"	
"enrichment_deleted_success"	"Enrichment deleted successfully"	"Enrichissement supprimé avec succès"
"enrichment_status_pending"	"Pending"	"En attente"
"enrichment_status_running"	"Running"	"En cours"
"enrichment_status_paused"	"Paused"	"En pause"
"enrichment_status_done"	"Done"	"Terminé"
"enrichment_status_not_started"	"Not started"	"Non démarré"
"enrichment_status_error"	"Failed"	"Échoué"
"enrichment_status_canceled"	"Canceled"	"Annulé"
"logs_error" 	"Failed to get logs"	"Impossible de récupérer les logs"
"precomputed_status"	"Status"	"Statut"
"precomputed_preview_description"	"Value from source column(s)"	"* valeur de la(des) colonne(s) source(s)"
"precomputed_added_success"	"Precomputed data added successfully"	"Données précalculées ajoutées avec succès"
"precomputed_updated_success"	"Precomputed data updated successfully"	"Données précalculées modifiées avec succès"
"precomputed_deleted_success"	"Precomputed data deleted successfully"	"Données précalculées supprimées avec succès"
"precomputed_status_pending"	"Pending"	"En attente"
"precomputed_status_running"	"Running"	"En cours"
"precomputed_status_paused"	"Paused"	"En pause"
"precomputed_status_done"	"Done"	"Terminé"
"precomputed_status_not_started"	"Not started"	"Non démarré"
"precomputed_status_error"	"Failed"	"Échoué"
"precomputed_status_canceled"	"Canceled"	"Annulé"
"metadata"	"Metadata"	"Métadonnées"
"affiliation"	"Affiliation"	"Affiliation"
"geography"	"Geography"	"Géographie"
"classification"	"Classification"	"Classification"
"indexation"	"Indexation"	"Indexation"
"searchable_success"     	"Search inputs successfully updated"	"Champs de recherche mis à jour avec succès"
"searchable_error"     	"Error while updating search inputs"	"Erreur lors de la mise à jour des champs de recherche"
"facet_success"     	"Facets successfully updated"	"Facettes mises à jour avec succès"
"facet_error"     	"Error while updating facets"	"Erreur lors de la mise à jour des facettes"
"syndication_success"     	"Syndication successfully updated"	"Syndication mise à jour avec succès"
"syndication_error"     	"Error while updating syndication"	"Erreur lors de la mise à jour de la syndication"
"blank_space"	"Blank space"	"Espace"
"parsing_delete_row_tooltip"	"Delete row"	"Supprimer la ligne"
"parsing_delete_row_title"	"Delete row"	"Supprimer la ligne"
"parsing_delete_row_description"	"Are you sure you want to delete this row?"	"Êtes-vous sûr de vouloir supprimer cette ligne ?"
"deleting"	"Deleting..."	"Suppression..."
"parsing_delete_row_success"	"Row deleted successfully"	"Ligne supprimée avec succès"
"parsing_delete_row_error"	"Error while deleting row"	"Erreur lors de la suppression de la ligne"
"add_more_data"	"Add more data"	"Ajouter plus de données"
"add_more_enrichment"	"Add more enrichments"	"Ajouter plus d'enrichissements"
"add_more_precomputed"	"Add more precomputed data"	"Ajouter plus de données précalculées"
"add_more_subresource"	"Add more subresources"	"Ajouter plus de sous-ressources"
"density_tooltip"	"Data density"	"Choisir la densité de données"
"column_tooltip"	"Column"	"Choisir les colonnes"
"download_data"	"Download data"	"Télécharger les données"
"blank_field"	"Blank field"	"Champ vierge"
"pending_enrichment"	"This enrichment is in waiting list because an enrichment is already in progress"	"Cet enrichissement est en liste d'attente car un enrichissement est déjà en cours"
"pending_precomputed"	"These precomputed data are in waiting list because a precompute is already in progress"	"Ces données précalculées sont en liste d'attente car un précalcul est déjà en cours"
"delete_all"	"Delete all"	"Tout supprimer"
"transformer_delete_all_title"	"Delete all transformation operation"	"Supprimer toutes les opérations de transformation"
"transformer_delete_all_description"	"Are you sure you want to delete all transformation operations ?"	"Êtes-vous sûr de vouloir supprimer toutes les opérations de transformation ?"
"check_all_value_facet"	"Check all"	"Tout cocher"
"check_x_first_value_facet"	"Check %{limit} first values"	"Cocher les %{limit} premières valeurs"
"form_is_modified"	"Form is modified, remember to save it"	"Le formulaire a été modifié, pensez à le sauvegarder"
"sort_search"	"Sort"	"Trier"
"sort_search_by_field"	"Sort by %{field}"	"Trier par %{field}"
"sort_search_title"	"Sort results"	"Trier les résultats"	
"no_sort_search"	"Remove sorting"	"Supprimer le tri"	
"text"	"Text"	"Texte"
"url" 	"URL"	"URL"
"lodex"	"LODEX"	"LODEX"
"chart" 	"Chart"	"Graphique"
"field_not_found"	"Field not found"	"Champ non trouvé"
"semantic_language"	"Semantic language"	"Langue sémantique"
"ws_post-v1-irc3sp_title"	"Detection of species names"	"Détection de noms d’espèces"
"ws_post-v1-irc3sp_description"	"Detect in a text the scientific names of animal and plant species (as well as viruses, bacteria, fungi, chromists, protists, etc.)."	"Détecte dans un texte les noms scientifiques d’espèces animales, végétales (ainsi que les virus, bactéries, champignons, chromistes, protistes, etc.)."
"ws_post-v1-hospital-affiliations_title"	"Homogenization of hospital affiliations"	"Homogénéisation des affiliations hospitalières"
"ws_post-v1-hospital-affiliations_description"	"Homogenizes the addresses of hospital affiliations by identifying the hospital or structure to which the affiliation is attached."	"Homogénéise les adresses d'affiliations hospitalières en identifiant l'hôpital ou la structure à laquelle l'affiliation est rattachée."
"ws_post-v1-orcid-disambiguation-orcidDisambiguation_title"	"ORCID disambiguation"	"Désambiguïsation ORCID"
"ws_post-v1-orcid-disambiguation-orcidDisambiguation_description"	"Disambiguate an ORCID using a name and other optional parameters (email, articles, co-authors, affiliation)."	"Désambiguïse un ORCID à l'aide d'un nom et d'autres paramètres facultatifs (email, articles, co-auteurs, affiliation)."
"ws_post-v2-affiliation-rnsr_title"	"Affiliation to RNSR (using Machine Learning)"	"Affiliation vers RNSR (par Apprentissage)"
"ws_post-v2-affiliation-rnsr_description"	"Finds the identifier of the National Repository of Research Structures for an affiliation address."	"Trouve l’identifiant du Référentiel Nationale des Structure de Recherche pour une adresse d’affiliation."
"ws_post-v3-affiliation-rnsr_title"	"Affiliation to RNSR (using Machine Learning ; multi-affiliations)"	"Affiliation vers RNSR (par Apprentissage ; mutli-affiliations)"
"ws_post-v3-affiliation-rnsr_description"	"Finds the identifier of the National Repository of Research Structures for an affiliation address. Separate differents affiliations with a ; ."	"Trouve l’identifiant du Référentiel Nationale des Structure de Recherche pour une adresse d’affiliation. Séparer les différentes affiliations avec un ; ."
"ws_post-v1-inspire-labos-in2p3-labos-json_title"	"Identification of IN2P3 laboratories"	"Identification des laboratoires IN2P3"
"ws_post-v1-inspire-labos-in2p3-labos-json_description"	"(Made for IN2P3) assigns the name of one of the IN2P3 laboratories from the IN2P3 laboratory codes."	"(Fait pour l'IN2P3) attribue le nom d’un des laboratoires IN2P3 à partir des codes laboratoires IN2P3."
"ws_post-v1-inspire-category-meta-category-json_title"	"Grouping of Inspire categories into meta-categories IN2P3"	"Regroupement des catégories Inspire en méta-catégories IN2P3"
"ws_post-v1-inspire-category-meta-category-json_description"	"(Made for IN2P3) homogenizes the Inspire categories and groups them into meta-categories specific to IN2P3."	"(Fait pour l'IN2P3) homogénéise les catégories Inspire et les regroupe en méta-catégories propres à l’IN2P3."
"ws_post-v1-first-name-gender_title"	"Detection of the gender of a first name"	"Détection du genre d'un prénom"
"ws_post-v1-first-name-gender_description"	"This web service allows to detect the gender of a first name from a list of gendered first names."	"Ce web service permet de détecter le genre d’un prénom à partir d’une liste de prénoms genrés."
"ws_post-v1-lemma_title"	"Lemmatizer for English terms"	"Lemmatiseur de termes anglais"
"ws_post-v1-lemma_description"	"This service allows you to lemmatize terms in English."	"Ce service permet de lemmatiser des termes en anglais."
"ws_post-v1-corporate-private-public_title"	"Detection of private affiliations"	"Détection d'affiliations privées"
"ws_post-v1-corporate-private-public_description"	"For each WOS or Scopus author affiliation, this web service indicates whether the affiliation is private or public."	"Ce web-service renvoie pour chaque affiliation d’auteurs du WOS ou de Scopus, si l’organisme d’appartenance est privé ou public."
"r-filter_title" 	"filter" 	"filter"
"r-filter_description" 	"Identifies, for a given sub-resource, all the resources in which this sub-resource is present" 	"Identifie, pour une sous-ressource donnée, toutes les ressources dans lesquelles cette sous-ressource est présente."
"r-labeled-resources_title" 	"labeled-resources" 	"labeled-resources"
"r-labeled-resources_description" 	"Retrieves the resources, but removes the id, publicationDate, uri, and total fields." 	"Récupère les ressources, mais en enlevant les champs id, publicationDate, uri, et total."
"r-sub-resources-asterplot_title" 	"sub-resources-asterplot" 	"sub-resources-asterplot"
"r-sub-resources-asterplot_description" 	"Displays in an Aster-Plot graph the most frequently co-occurring sub-resources with a given sub-resource (adapted from the sub-resources-co-occurrences routine)." 	"Affiche dans un graphique Aster-Plot les sous-ressources les plus fréquemment co-occurrentes avec une sous-ressource donnée (adaptation de la routine sub-resources-co-occurrences)."
"r-sub-resources-co-occurrences_title" 	"sub-resources-co-occurrences" 	"sub-resources-co-occurrences"
"r-sub-resources-co-occurrences_description" 	"Identifies sub-resources that co-occur with a given sub-resource and calculates the number of these co-occurrences." 	"Identifie les sous-ressources co-occurrentes avec une sous-ressource donnée et calcule le nombre de ces co-occurrences."
"r-close-by_title" 	"close-by" 	"close-by"
"r-close-by_description" 	"Is used to create the graph aster plot." 	"Est utilisée pour créer le graphique aster plot."
regenerate_vega_lite_spec	Regenerate Vega Lite specifications	Régénérer la spécification Vega Lite
regenerate_vega_spec	Regenerate Vega specifications	Régénérer la spécification Vega
vega_json_error	The json syntax of Vega Lite specification is wrong!	La syntaxe json de la spécification Vega Lite est erronée !
"tar-gz"	"TAR.GZ - file from dl.istex.fr"	"TAR.GZ - résultat de dl.istex.fr"
"config_tenant"	"Settings"	"Configuration"	
"configTenantUpdated"	"Settings updated"	"Configuration mise à jour"
"republish"	"Republish"	"Republier"
"user_auth" 	"User authentication"	"Authentification utilisateur"
"enableAutoPublication"	"Auto Publishing"	"Publication automatique"
